example_id,source_id,quantity,value,units,evidence_status,method,caveat,sheet_page
MAT02,S18,minimum_headlap,65,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
MAT02,S18,batten_width,38,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
MAT02,S18,batten_depth,25,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
MAT02,S18,course_gauge_at_65mm_headlap,100,mm,documented,Arithmetic: (265 - 65) / 2 for double lap,Derived from this detail; do not expose the entire 265mm tile length.,800CPT35 revision A; sheet1
MAT03,S19,catalogue_slate_length,500,mm,documented,Transcribed source value,One listed product size; exposure and headlap govern application.,"PDF pp20-21: exposure, rafter length and headlap tables"
MAT03,S19,catalogue_slate_width,250,mm,documented,Transcribed source value,One listed size; not measured on atlas roofs.,"PDF pp20-21: exposure, rafter length and headlap tables"
D01,S01,plot_width,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,plot_depth,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,floor_to_floor_height,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,window_width,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,window_height,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,roof_pitch,,degrees,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D01,S01,roof_clear_span,,m,missing,Not established,"Unlocated archetype, not independent built survey; roof, setbacks, opening dimensions unknown.",PDF pp7-9 LTH 201; pp23-25 LTH 207
D02,S02,plot_width,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,plot_depth,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,floor_to_floor_height,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,window_width,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,window_height,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,roof_pitch,,degrees,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,roof_clear_span,,m,missing,Not established,No as-built survey supplied; no opening or roof-span dimensions; do not equate proposal to existing house.,PDF pp1-2; p7 comparison table (§8.2)
D03,S03,plot_width,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,plot_depth,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,floor_to_floor_height,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,window_width,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,window_height,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,roof_pitch,,degrees,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
D03,S03,roof_clear_span,,m,missing,Not established,"Completion unverified; section, roof form and opening sizes missing.",Printed/PDF pp91-92; §4.2-4.6
T01,S04,plot_width,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,plot_depth,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,floor_to_floor_height,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,window_width,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,window_height,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,roof_pitch,,degrees,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T01,S04,roof_clear_span,,m,missing,Not established,"Metric frontage, pitch, plot and access plan missing. Listing is not a measured survey.",Details
T02,S01,plot_width,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,plot_depth,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,floor_to_floor_height,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,window_width,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,window_height,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,roof_pitch,,degrees,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T02,S01,roof_clear_span,,m,missing,Not established,Not a northern historic sample; external depth and roof dimensions missing.,PDF pp7-9 LTH 201; pp23-25 LTH 207
T03,S05,plot_width,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,plot_depth,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,floor_to_floor_height,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,window_width,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,window_height,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,roof_pitch,,degrees,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
T03,S05,roof_clear_span,,m,missing,Not established,"Street-width endpoints not defined here; not a carriageway width. Individual footprint, heights and pitch unmeasured.",Project text; 059_N252 photograph
M01,S06,plot_width,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,plot_depth,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,floor_to_floor_height,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,window_width,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,window_height,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,roof_pitch,,degrees,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M01,S06,roof_clear_span,,m,missing,Not established,"No verified shop/residential internal separation, metric widths or capacity.",Details; IOE01/04549/25 photo link
M02,S07,plot_width,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,plot_depth,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,floor_to_floor_height,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,window_width,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,window_height,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,roof_pitch,,degrees,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M02,S07,roof_clear_span,,m,missing,Not established,"Not independently established as a corner; retained as a mixed-use range control. Footprint, stairs and dwelling counts missing.",Details; archive photograph
M03,S08,plot_width,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,plot_depth,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,floor_to_floor_height,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,window_width,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,window_height,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,roof_pitch,,degrees,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
M03,S08,roof_clear_span,,m,missing,Not established,Mixed use at No1 not established; public-house and shop evidence belongs to nearby examples. No metre dimensions.,West Parade / Beaumont Fee character extract; Figure 5
A01,S03,plot_width,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,plot_depth,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,floor_to_floor_height,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,window_width,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,window_height,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,roof_pitch,,degrees,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A01,S03,roof_clear_span,,m,missing,Not established,"Same project, not three independent examples. Roof storeys and stair layouts unverified.",Printed/PDF pp91-92; §4.2-4.6
A02,S09,plot_width,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,plot_depth,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,floor_to_floor_height,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,window_width,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,window_height,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,roof_pitch,,degrees,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A02,S09,roof_clear_span,,m,missing,Not established,Not ordinary northern vernacular; deliberate construction contrast. Historical listing count not current occupancy; metre dimensions absent.,Details: plan and exterior
A03,S10,plot_width,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,plot_depth,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,floor_to_floor_height,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,window_width,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,window_height,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,roof_pitch,,degrees,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,roof_clear_span,,m,missing,Not established,Type D illustration has no scale; unit area does not establish whole-block footprint or occupancy.,Housing Choice: types A–D; Precision-Made; Space for Community
C01,S11,plot_width,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,plot_depth,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,floor_to_floor_height,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,window_width,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,window_height,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,roof_pitch,,degrees,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C01,S11,roof_clear_span,,m,missing,Not established,"Court dimensions, wing depth and dwelling areas missing; no northern replication justified.","Details: plan, exterior, access"
C02,S12,plot_width,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,plot_depth,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,floor_to_floor_height,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,window_width,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,window_height,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,roof_pitch,,degrees,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C02,S12,roof_clear_span,,m,missing,Not established,Estate-level counts not per wing; no court or structural span dimensions; scale exceeds the initial small block.,Details
C03,S10,plot_width,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,plot_depth,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,floor_to_floor_height,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,window_width,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,window_height,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,roof_pitch,,degrees,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,roof_clear_span,,m,missing,Not established,Same project as A03: not independent evidence. Shared-garden dimensions unavailable.,Housing Choice: types A–D; Precision-Made; Space for Community
W01,S13,plot_width,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,plot_depth,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,floor_to_floor_height,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,window_width,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,window_height,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,roof_pitch,,degrees,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W01,S13,roof_clear_span,,m,missing,Not established,"No measured spans, heights or worker area; perspective photo not scaled.",Printed pp61-71; p63 Fig4 (PDF p65); p64 employment
W02,S15,plot_width,,m,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
W02,S15,plot_depth,,m,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
W02,S15,floor_to_floor_height,,m,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
W02,S15,window_width,,m,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
W02,S15,window_height,,m,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
W02,S15,roof_pitch,,degrees,missing,Not established,"Date discrepancy retained; footprint, pitch, openings and structural dimensions missing.",Details: plan; front; rear courtyard; interiors
