source_id,title,publisher_author,url,sheet_page,access_date,reuse_standing,inspection
S18,Change of Roof Pitch; clay plain tile detail,Marley,https://www.marley.co.uk/-/media/066d3695d9a94cb7a8019b1db5175f1f.pdf?rev=27071efb996241869e2faffc511005fe,800CPT35 revision A; sheet1,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Online figured dimensions read; construction relationship from technical detail; no pixel measurement.
S19,SIGA Natural Slate: A Guide,SIG Roofing / SIGA,https://www.sigaslate.co.uk/wp-content/uploads/documents/SIGA-Slate-Brochure.pdf,"PDF pp20-21: exposure, rafter length and headlap tables",2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Text inspected; flattened headlap columns not safe to transcribe as pitch-specific values.
S20,Flat Roof Design Considerations,Bauder,https://www.bauder.co.uk/technical-centre/standards-and-knowledge/flat-roof-design-considerations,Falls / design considerations,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Historical generic 1:40 design / 1:80 finished advice read; not treated as a universal current requirement.
S21,BS6229:2025 key changes,BauderACE,https://www.bauderace.co.uk/technical-centre/standards-and-knowledge-9835597dbd573da8ab6ee78cd0e3b81f/bs-6229-2025-key-changes,Key changes; search-index text,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Indexed text says design fall now depends on analysis; full page redirects to login. No current compliance conclusion drawn.
S22,1613 Canal Ring,Amsterdam City Archives,https://www.amsterdam.nl/stadsarchief/canon/windows/12/,Back entrance; canal expansion,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Source text inspected online
S23,Retrofitting Boston Buildings for Flooding,City of Boston,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/retrofitting_report_10.7.2016.pdf,Triple-Decker typology,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,"Indexed city report text; wood frame, stoops and openings; not a measured building example."
S24,Narbonne House,US National Park Service,https://www.nps.gov/places/narbonne-house.htm,Place description; NPS photograph,2026-09-06,NPS photo attribution shown; use linked image only until individual image credit checked.,Place description inspected; HABS MA-802 drawings located but inaccessible; no dimensions used.
S25,Goldsmith Street street photograph 059_N252,Mikhail Riches website; project photography credited to Tim Crocker,https://www.mikhailriches.com/wp-content/uploads/2022/10/059_N252_medium-e1750261172175.jpg,059_N252; project page image12,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Downloaded to temporary storage and visually inspected; no metric inference.
S26,Marmalade Lane Type D diagram,Marmalade Lane / project designers,https://www.marmaladelane.co.uk/uploads/development/images/typeD.jpg,Type D,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,"Downloaded and visually inspected: axonometric rendering, not measured evidence."
R01,Checkpoint draw list and repeated draw,city-sim d9addc3,artifacts/visual-study/roof-proportions/daylight-near.tsv,row/building and roof layers,2026-09-06,Repository artifact; preserved unchanged; screenshot linked from atlas.,Recomputed with audit_snapshot.py; not a new simulation run.
R02,Geometry and capacity source,city-sim HEAD 7916db4022066a741531087aa1ed6325a448303f,src/Borough.Godot/Main.Massing.cs,Buildings; Wings; CapFor; RoofHeight; World.TryDeclaredOccupancy; BuildingPlan; shopping.toml,2026-09-06,"Repository source, no changes.",Read at HEAD and compared against d9addc3; see audit for exact owners.
P01,Prototype model briefs and drawing arithmetic,This research session,model-briefs.md,M1–M3,2026-09-06,Original research drawing; no third-party image used.,"All proposed dimensions, not measurements."
