source_id,title,author,publication_date,url,sheet_page,access_date,evidence_standing,inspection,image_reuse
NF2,Single-Family Deep Energy Retrofits with Prefabricated Panel Block Wall Insulation,US Department of Energy / Fraunhofer USA,Updated 2025-07-01,https://www.energy.gov/cmei/buildings/single-family-deep-energy-retrofits-prefabricated-panel-block-wall-insulation,Overview / Progress / Next Steps,2026-09-06,"Development and demonstration, not proven universal deployment",Primary page inspected; target benefits not treated as achieved outcomes.,No image licence established; link only.
ST1,Energy Performance of Buildings Directive,European Commission,Live page accessed 2026-09-06,https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en,Key facts on energy and buildings,2026-09-06,EU-wide stock statement; not a city distribution,Primary text inspected; policy requirements not transcribed as game rules.,Page images separately credited; link only.
ST2,2023 ACS B25034: Year Structure Built,US Census Bureau,2023,https://api.census.gov/data/2023/acs/acs1/groups/B25034.html,Table definition,2026-09-06,Discovery only: no US age proportions verified,"Numeric API request returned Missing Key HTML, not data; excluded from numerical conclusions.",No images used.
CON1,Portal frames: anatomy and design considerations,Steel Construction Info / BCSA / SCI,Undated current page,https://steelconstruction.info/topics/design/portal-frames,Anatomy; Main frame; Clear span and height,2026-09-06,"Industry design guidance, not measured stock",Primary industry guidance inspected; current page clear-height range differs from older concept guide.,No image licence established; link only.
CON2,Kerto-Ripa: Prefabricated Building Elements,Metsä Wood,Undated downloaded edition,https://www.metsagroup.com/globalassets/metsa-wood/attachments/others/metsa-kerto-ripa-prefabricated-building-elements.pdf.pdf,"PDF/printed 25, T-element span table and assumptions",2026-09-06,Product-specific calculated span limits; not an installed building survey,"Downloaded; table, units and assumptions visually inspected.","Manufacturer document; original diagrams only, no page redistribution."
CON3,Loading Dock,Whole Building Design Guide,Undated current page,https://stg.wbdg.org/space-types/loading-dock,Functional / Operational,2026-09-06,"Design guidance; service/public adjacency, not a universal dimension standard",Text inspected; no dock dimensions adopted.,No image licence established; link only.
MAT1,Standard format bricks,Wienerberger,Undated,https://www.wienerberger.co.uk/products/brick/standard-format-bricks.html,Product dimensions,2026-09-06,"Modern UK product control from first pass, not regional architecture definition","Verified in first pass; retained with provenance, not freshly re-fetched.",No image licence established; link only.
MAT2,Marley plain tile detail 800CPT35 rev A,Marley,Undated drawing,https://www.marley.co.uk/-/media/066d3695d9a94cb7a8019b1db5175f1f.pdf?rev=27071efb996241869e2faffc511005fe,800CPT35 rev A,2026-09-06,Product module from first pass; not a universal roof covering,Verified first pass; retained for scale comparison.,No image licence established; link only.
RIGHTS,TABULA/EPISCOPE rules for usage,IEE Projects TABULA + EPISCOPE / IWU,Undated,https://episcope.eu/communication/download/,Rules for Usage,2026-09-06,Explicit attribution policy,Primary policy inspected.,Nonexclusive uses intended; visible IEE Projects TABULA + EPISCOPE (www.episcope.eu) attribution required.
R1,Archived roof-proportions draw and simulation owners,city-sim repository,Checkpoint d9addc3,../simulation-audit.md,audit.py; evidence/reproduction.json,2026-09-06,Archived game geometry and code reconstruction; not fresh run,Recomputed 52 unique IDs; HEAD and owner hashes checked.,Repository research image remains in first-pass bundle; no new third-party asset.
P1,Present-day model briefs and comparison,This research session,2026-09-06,model-briefs.md,N1–N3 and comparison protocol,2026-09-06,"Proposed art/layout parameters, not measured evidence",Original dimensional drawings; arithmetic validated.,Original research diagrams.
