source_id,title,author,date,url,pages,standing,inspection,claim,uncertainty,reuse,accessed,local
PNW1,"15th Live Work, 355 15th Ave: Design Review",Chris Pardo Design: Elemental Architecture / City of Seattle,2013-01-15,https://www.seattle.gov/dpd/AppDocs/GroupMeetings/DRProposal3012121AgendaID4348.pdf,"PDF 13,16,17,22 / sheets 12,15,16,21",Proposal; built status unverified,Retained previous verification; no fresh retrieval claimed,Live/work proposal has roof/access/elevation drawings; useful link between separate entrances and contemporary massing.,Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
NL2,51 gasloze en energieneutrale woningen Het Larense Veld in Almere Haven,BAM Wonen; Schippers Architecten,Delivered 2019-08,https://www.bamwonen.nl/projecten/51-gasloze-en-energieneutrale-woningen-het-larense-veld-in-almere-haven,Project description / Cijfers en feiten,Builder-reported built project; approximate/ranged dimensions not paired unit records,Retained previous verification; no fresh retrieval claimed,Builder reports completed contemporary housing with varied house types; corroborates that Dutch contemporary stock is not one gable.,Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
RFT1,"Transformation of 530 dwellings, blocks G H I, Grand Parc",Lacaton & Vassal / Druot / Hutin,2016 completion text; 2017 header,https://www.lacatonvassal.com/index.php?idp=80,Project text / programme,Built transformation; date and existing-area definitions conflict within source,Retained previous verification; no fresh retrieval claimed,"Grand Parc demonstrates addition of winter gardens/balconies during transformation; exceptional retrofit mechanism, not ordinary default.",Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
RFT2,Nottingham Energiesprong homes,Energiesprong UK / Nottingham City Homes / Melius / Studio Partington,2017 pilot; later phases described,https://www.energiesprong.uk/projects/nottingham,Full list of measures,Built retrofit phases; first pilot and later systems differ,Retained previous verification; no fresh retrieval claimed,Nottingham pilot demonstrates prefabricated energy retrofit; pilot and later phases have different systems.,Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
MAT1,Standard format bricks,Wienerberger,Undated,https://www.wienerberger.co.uk/products/brick/standard-format-bricks.html,Product dimensions,"Modern UK product control from first pass, not regional architecture definition",Retained previous verification; no fresh retrieval claimed,Modern UK brick product: 215 × 102.5 × 65 mm. Not a universal European module.,Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
C4,Kerto-Ripa: Prefabricated Building Elements,Metsä Wood,Undated downloaded edition,https://www.metsagroup.com/globalassets/metsa-wood/attachments/others/metsa-kerto-ripa-prefabricated-building-elements.pdf.pdf,"PDF/printed 25, T-element span table and assumptions",Product-specific calculated span limits; not an installed building survey,Retained previous verification; no fresh retrieval claimed,T-element span table distinguishes roof and residential-floor capacities under listed load assumptions; 7 m roof span does not imply 7 m floor span.,Retained prior source; not newly measured. Scope and caveats remain those of previous source record.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
DK1,"Lokalplan 609 Tingbjerg, kommuneplantillæg nr.9 og miljørapport",Københavns Kommune,Adopted 2021-12-16; announced 2022-01-20,https://tingbjerg-bydel.dk/assets/dokumenter/Byudviklingsteamet/Rammelokalplan-og-lokalplan-609-for-Tingbjerg.pdf,6–7 existing;15 proposal;47 envelopes;78 sheet3b1,Existing character plus adopted infill plan,"Researcher visually inspected 7,15,78; coordinator inspected 7,78","Existing three-storey brick ranges use 11° felt gables. Infill and road dimensions are separately specified. Gardens, street sides and garages differ visibly.","Protected designed estate, not all Copenhagen. Plan gives 1956–75; municipal KP2024 profile gives 1956–70. New infill limits include named exceptions.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/europe-ting.pdf
DK2,Typehuset 1960–79: katalog over typiske løsninger og principper,Mur & Tag / EUDP,Undated; bibliography includes 2012,https://www.mur-tag.dk/fileadmin/user_upload/Editor/filer/EUDP-I_Parcel_Materiale/Typehuset_1960-79_Ver_II.pdf,2–7,Representative construction typology,Researcher text inspected; coordinator visually inspected pp6–7,Trusses span between facades; garden-side living glazing differs from service/entrance side. Wall types 29–35 cm.,No measured address or plan dimensions. Low-pitch sheets and higher-pitch clay covering are separate systems; do not transfer all details between them.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
DK3,Danske Bygningsmodeller — Type 5,Grundejernes Investeringsfond; Realdania; Byggeskadefonden,Undated,https://www.danskebygningsmodeller.dk/english/pages/type5.html,Type5 and original roof/facade linked detail,Instructional reconstruction,Researcher HTML text inspected; interactive detail not visually inspected,Transverse bearing walls support floors; longitudinal facades can be nonbearing. Early flat and later raised roofs both occur.,Do not silently apply the whole system to Tingbjerg brick ranges. Layer thickness alone does not define roof angle.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
ES1,Catálogo de tipología edificatoria residencial,IVE; Generalitat Valenciana; Ortega Madrigal (coord.); García-Prieto Ruiz et al.,2016-01,https://descargas.five.es/archivos/BibliotecaIVE/C_TER.pdf,5–6 caveats;43 and45 examples,Representative energy-typology examples,"Researcher visually inspected 43,45; coordinator independently inspected45","1960–79 Mediterranean MFH example: 4 floors, 16 dwellings, 1089.70 m² S.Habitable; roof section has ceramic finish, waterproofing, fall-forming concrete and 200 mm one-way RC floor.",No footprint supplied. Example areas are not statistically representative; photograph locality not verified as Valencia. Habitable area is not gross floor.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/europe-ive.pdf
ES2,PGOU Normas Urbanísticas (transcription),Ayuntamiento de Valencia; Oficina Municipal del Plan,Legacy document; consolidation date unverified,https://www.valencia.es/documents/20142/629631/10.%2BNormas%2BUrban%EF%BF%BDsticas.%2B%28Transcripci%EF%BF%BDn%29.pdf/ba78c368-ab86-c719-b9c4-e504111b3863,93–94; article6.17,Legacy regulatory relationship,Researcher text inspected,"Ensanche housing can coexist with specified workshop/storage uses, with separate street access and independent circulation under stated conditions.",Not a measured block or current legal guidance; current applicability not established.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
C1,Scheme development: Overview of structural systems for single-storey buildings; SS048a-EN-EU,Access Steel; SCI/European steel guidance,2006-era; cover undated,https://www.steelconstruction.info/images/4/44/SS048a.pdf,"3,7–8,14–16",Representative structural design guidance,"Coordinator downloaded and visually inspected pp7,14","Drawings distinguish portals, purlins, bracing, cladding, haunches and office/mezzanine variants. Indicative frame spacing and spans are not engineering limits.",2006 guidance 15–60 m spans differs from current portal page 15–50 m: scopes/editions differ; neither is a game bound.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/architecture3-steel.pdf
C2,Comment: BS6229:2025,Nigel Blacklock; Bauder Limited,2026-05,https://admin.bauder.co.uk/getcontentasset/fd2f10bc-9f25-47d2-971d-3d262269bff2/7d6e2dfa-e012-4c99-925b-dc695a20fab7/bs6229-2025update_baudercomment_may2026.pdf?language=en,4 layer diagrams; 5 drainage; 3 overflow,Manufacturer commentary on standard,Coordinator downloaded; visually inspected pp. 4–5,Commentary replaces blanket 1:40 design prescription with completed-fall requirement and project analysis; discusses crickets and secondary overflow.,"Manufacturer interpretation, not independently reviewed standard or global regulation; zero-fall exceptions have specific systems.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/architecture3-bauder.pdf
C3,Flat roof design considerations,Bauder Limited,Undated live page,https://www.bauder.co.uk/technical-centre/standards-and-knowledge/flat-roof-design-considerations,Creating falls; Drainage,General manufacturer guidance,Coordinator primary text inspected,General page still states a 1:40 design fall to achieve a 1:80 completed fall.,"Conflicts with dated C2 commentary. Retain conflict; use proposed slopes in research, not a compliance assertion.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
P1,Authored research geometry,city-sim architecture research pass03,2026-09-07,model-briefs.html,draw.py; model briefs,Proposed game research dimensions,Arithmetic and sampled visual checks; see validation,"Original diagrams supply concrete comparisons. They are proposals, not measured evidence.","No simulation allocation, engineering certification or player preference implied.",Original research vector diagrams.,2026-09-06/07,
R1,Archived checkpoint reconstruction,city-sim repository,d9addc3,simulation-audit.html,audit.py and reproduction.json,Archived game data,Fresh reconstruction; not fresh simulation,52 components and unique IDs in this capture; positive-area floor/capacity arithmetic recomputed.,"Fixture-specific, not citywide distribution.",Repository research data.,2026-09-06/07,
