example,source_id,quantity,original_value,original_unit,metric_value,metric_unit,evidence_class,page,uncertainty
sacramento-7,P1,height,3.2,m,3.2,m,proposed context geometry,sacramento.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,x,2,m,2,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,y,5,m,5,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,w,12,m,12,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,d,20,m,20,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,n,2,floors,2,floors,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-1,P1,height,6.4,m,6.4,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,x,20,m,20,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,y,5,m,5,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,w,12,m,12,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,d,12,m,12,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,n,2,floors,2,floors,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-2,P1,height,6.4,m,6.4,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,x,38,m,38,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,y,5,m,5,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,w,24,m,24,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,d,12,m,12,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,n,2,floors,2,floors,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-3,P1,height,6.4,m,6.4,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,x,66,m,66,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,y,2,m,2,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,w,14,m,14,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,d,18,m,18,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,n,3,floors,3,floors,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-4,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,x,4,m,4,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,y,40,m,40,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,w,20,m,20,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,d,12,m,12,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,n,2,floors,2,floors,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
south-bend-5,P1,height,6.4,m,6.4,m,proposed context geometry,south-bend.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,x,2,m,2,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,y,3,m,3,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,w,30,m,30,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,d,10,m,10,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,n,2,floors,2,floors,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-1,P1,height,6.4,m,6.4,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,x,38,m,38,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,y,3,m,3,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,w,12,m,12,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,d,10,m,10,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,n,2,floors,2,floors,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-2,P1,height,6.4,m,6.4,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,x,56,m,56,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,y,3,m,3,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,w,24,m,24,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,d,12,m,12,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,n,3,floors,3,floors,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-3,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,x,2,m,2,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,y,43,m,43,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,w,30,m,30,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,d,10,m,10,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,n,2,floors,2,floors,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-4,P1,height,6.4,m,6.4,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,x,40,m,40,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,y,43,m,43,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,w,18,m,18,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,d,12,m,12,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,n,2,floors,2,floors,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
amersfoort-5,P1,height,6.4,m,6.4,m,proposed context geometry,amersfoort.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,x,3,m,3,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,y,12,m,12,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,w,32,m,32,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,d,12,m,12,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,n,3,floors,3,floors,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-1,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,x,43,m,43,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,y,12,m,12,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,w,32,m,32,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,d,12,m,12,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,n,3,floors,3,floors,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-2,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,x,3,m,3,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,y,45,m,45,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,w,24,m,24,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,d,10,m,10,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,n,2,floors,2,floors,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-3,P1,height,6.4,m,6.4,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,x,45,m,45,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,y,45,m,45,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,w,24,m,24,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,d,12,m,12,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,n,1,floors,1,floors,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
tingbjerg-4,P1,height,3.2,m,3.2,m,proposed context geometry,tingbjerg.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,x,0,m,0,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,y,0,m,0,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,w,28,m,28,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,d,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,n,4,floors,4,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-1,P1,height,12.8,m,12.8,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,x,28,m,28,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,y,0,m,0,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,w,28,m,28,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,d,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,n,4,floors,4,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-2,P1,height,12.8,m,12.8,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,x,56,m,56,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,y,0,m,0,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,w,24,m,24,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,d,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,n,4,floors,4,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-3,P1,height,12.8,m,12.8,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,x,0,m,0,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,y,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,w,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,d,20,m,20,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,n,4,floors,4,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-4,P1,height,12.8,m,12.8,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,x,68,m,68,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,y,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,w,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,d,20,m,20,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,n,4,floors,4,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-5,P1,height,12.8,m,12.8,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,x,24,m,24,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,y,47,m,47,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,w,32,m,32,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,d,12,m,12,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,n,1,floors,1,floors,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
valencia-6,P1,height,3.2,m,3.2,m,proposed context geometry,valencia.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,x,0,m,0,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,y,3,m,3,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,w,24,m,24,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,d,12,m,12,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,n,2,floors,2,floors,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-1,P1,height,6.4,m,6.4,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,x,28,m,28,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,y,3,m,3,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,w,24,m,24,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,d,16,m,16,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,n,3,floors,3,floors,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-2,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,x,56,m,56,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,y,0,m,0,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,w,24,m,24,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,d,16,m,16,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,n,3,floors,3,floors,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-3,P1,height,9.600000000000001,m,9.600000000000001,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,x,0,m,0,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,y,40,m,40,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,w,36,m,36,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,d,20,m,20,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,n,2,floors,2,floors,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-4,P1,height,7,m,7,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,x,44,m,44,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,y,43,m,43,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,w,32,m,32,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,d,16,m,16,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,n,2,floors,2,floors,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
fictional-5,P1,height,6.4,m,6.4,m,proposed context geometry,fictional.svg,Study ground; G001 dimensions separately checked against R1
